Exp or Imp,Year,HS,Country,Unit1,Unit2,Quantity1-Year,Quantity2-Year,Value-Year,Quantity1-Jan,Quantity2-Jan,Value-Jan,Quantity1-Feb,Quantity2-Feb,Value-Feb,Quantity1-Mar,Quantity2-Mar,Value-Mar,Quantity1-Apr,Quantity2-Apr,Value-Apr,Quantity1-May,Quantity2-May,Value-May,Quantity1-Jun,Quantity2-Jun,Value-Jun,Quantity1-Jul,Quantity2-Jul,Value-Jul,Quantity1-Aug,Quantity2-Aug,Value-Aug,Quantity1-Sep,Quantity2-Sep,Value-Sep,Quantity1-Oct,Quantity2-Oct,Value-Oct,Quantity1-Nov,Quantity2-Nov,Value-Nov,Quantity1-Dec,Quantity2-Dec,Value-Dec
1,2023,'860712000',108,  ,KG,0,5400,38983,0,0,0,0,5400,38983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2023,'860712000',112,  ,KG,0,304,588,0,0,0,0,0,0,0,304,588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2023,'860712000',118,  ,KG,0,17637,131148,0,0,0,0,0,0,0,0,0,0,5397,41389,0,0,0,0,0,0,0,0,0,0,2091,14784,0,0,0,0,298,4865,0,0,0,0,9851,70110
1,2023,'860712000',127,  ,KG,0,17540,146976,0,0,0,0,17540,146976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2023,'860719100',103,  ,KG,0,6847,21829,0,2453,2964,0,2292,2964,0,613,741,0,0,0,0,1436,11987,0,0,0,0,20,2749,0,0,0,0,33,424,0,0,0,0,0,0,0,0,0
1,2023,'860719100',105,  ,KG,0,511248,963946,0,109464,197821,0,0,0,0,202936,378710,0,99452,185593,0,7200,6732,0,0,0,0,1021,1320,0,0,0,0,0,0,0,10550,9750,0,0,0,0,80625,184020
1,2023,'860719100',106,  ,KG,0,312150,382977,0,47600,53260,0,47600,53260,0,47600,53260,0,42840,47934,0,0,0,0,0,0,0,6510,2349,0,0,0,0,0,0,0,0,0,0,40000,57638,0,80000,115276
1,2023,'860719100',108,  ,KG,0,95,936,0,95,936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2023,'860719100',110,  ,KG,0,22807,40179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306,362,0,0,0,0,0,0,0,0,0,0,22501,39817
1,2023,'860719100',111,  ,KG,0,77688,50683,0,2808,1831,0,0,0,0,0,0,0,37440,24426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37440,24426
1,2023,'860719100',112,  ,KG,0,998,862,0,0,0,0,0,0,0,903,270,0,0,0,0,0,0,0,0,0,0,0,0,0,95,592,0,0,0,0,0,0,0,0,0,0,0,0
1,2023,'860719100',118,  ,KG,0,3636678,1121843,0,725341,198947,0,1333508,407006,0,979484,289233,0,2695,20665,0,0,0,0,0,0,0,0,0,0,1999,14128,0,0,0,0,0,0,0,331500,82918,0,262151,108946
1,2023,'860719100',122,  ,KG,0,16921,5214,0,0,0,0,0,0,0,86,1293,0,16835,3921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2023,'860719100',127,  ,KG,0,22400,100131,0,0,0,0,0,0,0,22400,100131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2023,'860719100',129,  ,KG,0,812,24094,0,0,0,0,0,0,0,0,0,0,172,5459,0,0,0,0,189,2779,0,0,0,0,0,0,0,451,15856,0,0,0,0,0,0,0,0,0
1,2023,'860719100',147,  ,KG,0,195600,125539,0,0,0,0,65200,40769,0,65200,42822,0,65200,41948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2023,'860719100',203,  ,KG,0,67,1124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,1124,0,0,0,0,0,0
1,2023,'860719100',213,  ,KG,0,68200,23354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68200,23354
1,2023,'860719100',220,  ,KG,0,3107,1783,0,0,0,0,1697,907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1410,876
1,2023,'860719100',304,  ,KG,0,3293904,1153404,0,63534,26886,0,77504,28061,0,166980,61661,0,125952,46678,0,125952,46604,0,188590,72335,0,141888,55905,0,125952,51926,0,125952,52544,0,760352,251110,0,571018,182818,0,820230,276876
1,2023,'860719100',312,  ,KG,0,6000,9372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,9372,0,0,0,0,0,0,0,0,0
1,2023,'860719100',506,  ,KG,0,763,3391,0,0,0,0,763,3391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2023,'860719100',514,  ,KG,0,2500,728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,728,0,0,0,0,0,0,0,0,0
1,2023,'860719900',103,  ,KG,0,158365,215063,0,0,0,0,32924,40914,0,0,0,0,43960,51568,0,22028,27647,0,15219,21817,0,34,4718,0,28574,33518,0,3,213,0,15412,22157,0,102,6656,0,109,5855
1,2023,'860719900',105,  ,KG,0,18311,141315,0,0,0,0,3663,22659,0,3556,14306,0,5396,22628,0,1681,10637,0,386,11824,0,1751,9245,0,1028,2503,0,241,7422,0,72,2997,0,363,20222,0,174,16872
1,2023,'860719900',106,  ,KG,0,5219,33221,0,8,715,0,2512,18935,0,0,0,0,13,1843,0,0,0,0,2610,9992,0,60,1077,0,0,0,0,0,304,0,0,0,0,16,355,0,0,0
1,2023,'860719900',108,  ,KG,0,5227,109500,0,0,0,0,0,0,0,0,0,0,34,3422,0,615,17521,0,1424,7780,0,1256,29218,0,0,0,0,0,0,0,442,13095,0,1111,29092,0,345,9372
1,2023,'860719900',111,  ,KG,0,6665,23864,0,0,0,0,2295,3720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4370,20144,0,0,0
1,2023,'860719900',112,  ,KG,0,1371,25851,0,0,0,0,103,3434,0,92,7563,0,0,0,0,36,3778,0,496,4852,0,0,0,0,0,0,0,0,0,0,82,2163,0,0,0,0,562,4061
1,2023,'860719900',117,  ,KG,0,32,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,386,0,0,0,0,0,0,0,0,0
1,2023,'860719900',118,  ,KG,0,2250,21977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,269,0,0,0,0,0,0,0,1770,14049,0,442,7659
1,2023,'860719900',122,  ,KG,0,40,760,0,0,0,0,0,0,0,0,0,0,0,0,0,40,760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2023,'860719900',127,  ,KG,0,3068,8434,0,0,0,0,578,4577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2490,3857,0,0,0,0,0,0
1,2023,'860719900',129,  ,KG,0,1181,44038,0,0,0,0,735,26068,0,0,0,0,67,3073,0,0,0,0,0,0,0,52,2509,0,0,0,0,244,8571,0,0,0,0,0,0,0,83,3817
1,2023,'860719900',140,  ,KG,0,2,370,0,2,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2023,'860719900',203,  ,KG,0,941,8400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313,2800,0,628,5600,0,0,0,0,0,0
1,2023,'860719900',205,  ,KG,0,17418,104811,0,0,0,0,4415,21868,0,0,0,0,2326,11608,0,0,0,0,1056,13041,0,0,0,0,0,0,0,113,368,0,5754,32162,0,873,9338,0,2881,16426
1,2023,'860719900',206,  ,KG,0,1540,11828,0,1470,10628,0,0,0,0,0,0,0,0,0,0,70,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2023,'860719900',304,  ,KG,0,832657,2456566,0,48969,124588,0,30580,100407,0,95153,259569,0,7537,17820,0,73704,212937,0,50077,163003,0,95322,257481,0,80880,206032,0,87482,284762,0,112954,323623,0,60620,208120,0,89379,298224
1,2023,'860719900',312,  ,KG,0,325,14379,0,0,0,0,0,0,0,325,14379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2023,'860719900',601,  ,KG,0,5267,48948,0,740,19798,0,610,2900,0,1270,6274,0,307,8276,0,0,0,0,2108,9900,0,0,0,0,0,0,0,222,1425,0,0,0,0,0,0,0,10,375
